t,n,A,B,C,D
0.00203,0,583.610352,583.9592,-0.348876953,-0.09270517
0.00205,1,583.610352,583.9591,-0.348754883,-0.114518143
0.00325,2,583.610352,583.9589,-0.348571777,-0.130877882
0.00326,3,583.610352,583.9588,-0.3484497,-0.152690873
0.00517,4,583.610352,583.958557,-0.348205566,-0.174503848
0.00714,5,583.610352,583.9583,-0.347961426,-0.196316838
0.00721,6,583.610352,583.958,-0.34765625,-0.229036286
0.00820,7,583.610352,583.957764,-0.3474121,-0.256302536
0.01003,8,583.610352,583.957458,-0.347106934,-0.267209023
0.01005,9,583.610352,583.9572,-0.3468628,-0.2781155
0.01130,10,583.610352,583.9569,-0.346557617,-0.289022
0.01136,11,583.610352,583.9565,-0.346130371,-0.2999285
0.01308,12,583.610352,583.9561,-0.34576416,-0.3217415
0.01495,13,583.610352,583.9559,-0.34552002,-0.332647949
0.01498,14,583.610352,583.955444,-0.345092773,-0.354460955
0.01618,15,583.610352,583.954956,-0.3446045,-0.3817272
0.01801,16,583.610352,583.9545,-0.344177246,-0.403540134
0.01803,17,583.610352,583.954041,-0.343688965,-0.42535314
0.01927,18,583.610352,583.9537,-0.343322754,-0.436259627
0.01929,19,583.610352,583.9533,-0.342956543,-0.447166115
0.02109,20,583.610352,583.952942,-0.342590332,-0.42535314
0.02297,21,583.610352,583.952637,-0.342285156,-0.403540134
0.02300,22,583.610352,583.952454,-0.342102051,-0.354460955
0.02419,23,583.610352,583.952332,-0.34197998,-0.289022
0.02599,24,583.610352,583.952148,-0.341796875,-0.239942789
0.02600,25,583.610352,583.9521,-0.34173584,-0.174503848
0.02724,26,583.610352,583.951965,-0.34161377,-0.141784385
0.02726,27,583.610352,583.951965,-0.34161377,-0.103611663
0.02907,28,583.610352,583.951965,-0.34161377,-0.07089219
0.03090,29,583.610352,583.9519,-0.341552734,-0.04907921
0.03091,30,583.610352,583.951965,-0.34161377,-0.0272662267
0.03219,31,583.610352,583.951965,-0.34161377,-0.0163597353
0.03403,32,583.610352,583.951965,-0.34161377,0.0109064905
0.03407,33,583.610352,583.951965,-0.34161377,0.0109064905
0.03529,34,583.610352,583.9521,-0.34173584,0.021812981
0.03531,35,583.610352,583.952148,-0.341796875,0.03271947
0.03708,36,583.610352,583.952148,-0.341796875,0.0109064905
0.03890,37,583.610352,583.952148,-0.341796875,0.0109064905
0.03892,38,583.610352,583.952148,-0.341796875,0
0.04019,39,583.610352,583.9521,-0.34173584,-0.0163597353
0.04200,40,583.610352,583.9521,-0.34173584,-0.0163597353
0.04203,41,583.610352,583.9521,-0.34173584,-0.0163597353
0.04328,42,583.610352,583.952,-0.3416748,-0.0272662267
0.04331,43,583.610352,583.951965,-0.34161377,-0.03817272
0.04506,44,583.610352,583.951843,-0.3414917,-0.04907921
0.04689,45,583.610352,583.9518,-0.341430664,-0.0599856973
0.04690,46,583.610352,583.9516,-0.341247559,-0.08179868
0.04816,47,583.610352,583.951538,-0.341186523,-0.09270517
0.05004,48,583.610352,583.9514,-0.341064453,-0.103611663
0.05008,49,583.610352,583.9513,-0.340942383,-0.130877882
0.05127,50,583.610352,583.9512,-0.3408203,-0.130877882
0.05129,51,583.610352,583.951,-0.3406372,-0.152690873
0.05309,52,583.610352,583.950867,-0.340515137,-0.152690873
0.05491,53,583.610352,583.9507,-0.340332031,-0.16359736
0.05493,54,583.610352,583.9505,-0.340148926,-0.174503848
0.05618,55,583.610352,583.9504,-0.340026855,-0.16359736
0.05799,56,583.610352,583.950256,-0.3399048,-0.16359736
0.05801,57,583.610352,583.950134,-0.3397827,-0.152690873
0.05931,58,583.610352,583.949951,-0.3395996,-0.152690873
0.05933,59,583.610352,583.9498,-0.339477539,-0.152690873
0.06109,60,583.610352,583.9497,-0.339355469,-0.141784385
0.06289,61,583.610352,583.9497,-0.339355469,-0.130877882
0.06290,62,583.610352,583.9497,-0.339355469,-0.103611663
0.06415,63,583.610352,583.949646,-0.339294434,-0.08179868
0.06598,64,583.610352,583.949646,-0.339294434,-0.0599856973
0.06600,65,583.610352,583.949646,-0.339294434,-0.0272662267
0.06734,66,583.610352,583.949646,-0.339294434,-0.0163597353
0.06744,67,583.610352,583.949646,-0.339294434,0
0.06910,68,583.610352,583.949646,-0.339294434,0
0.07093,69,583.610352,583.9497,-0.339355469,0
0.07096,70,583.610352,583.9497,-0.339355469,0.0109064905
0.07217,71,583.610352,583.9497,-0.339355469,0.0109064905
0.07401,72,583.610352,583.9497,-0.339355469,0
0.07405,73,583.610352,583.9497,-0.339355469,0
0.07526,74,583.610352,583.9497,-0.339355469,-0.0163597353
